"","competition_id","competition_name","competition_gender","competition_country","competition_season","competition_round","match_id","date","city","arena_id","arena_name","neutral_arena","attendance","home_id","home_name","away_id","away_name","winner_id","winner_name","result_home","result_away","result_home_first_half","result_away_first_half","result_home_second_half","result_away_second_half","result_home_ot1_first_half","result_away_ot1_first_half","result_home_ot1_second_half","result_away_ot1_second_half","result_home_ot2_first_half","result_away_ot2_first_half","result_home_ot2_second_half","result_away_ot2_second_half","result_home_penalty","result_away_penalty"
"1",1,"HBL","male","Germany","2008/09","1","841282",2008-09-03,NA,"","","",0,3,"Rhein-Neckar Löwen",19,"TV Großwallstadt","3","Rhein-Neckar Löwen",33,32,13,20,20,12,0,0,NA,NA,"","","","",0,0
"14134",1,"HBL","male","Germany","2018/19","34","15060455",2019-06-09,"Stuttgart","","","",2251,17,"TVB Stuttgart",6,"HC Erlangen","6","HC Erlangen",27,28,14,13,13,15,0,0,NA,NA,"","","","",0,0
"14133",1,"HBL","male","Germany","2018/19","34","15060453",2019-06-09,"Bietigheim-Bissingen","","","",4517,52,"SG BBM Bietigheim",7,"VfL Gummersbach","draw","draw",25,25,14,11,11,14,0,0,NA,NA,"","","","",0,0
"14132",1,"HBL","male","Germany","2018/19","34","15060451",2019-06-09," Düsseldorf","","","",10043,14,"Bergischer HC",5,"SG Flensburg-Handewitt","5","SG Flensburg-Handewitt",24,27,8,16,16,11,0,0,NA,NA,"","","","",0,0
"14131",1,"HBL","male","Germany","2018/19","34","15060449",2019-06-09,"Ludwigshafen","","","",2350,42,"Die Eulen Ludwigshafen",10,"GWD Minden","42","Die Eulen Ludwigshafen",31,30,14,17,17,13,0,0,NA,NA,"","","","",0,0
"14130",1,"HBL","male","Germany","2018/19","34","15060447",2019-06-09,"Leipzig","","","",5239,13,"SC DHfK Leipzig",3,"Rhein-Neckar Löwen","13","SC DHfK Leipzig",28,26,14,14,14,12,0,0,NA,NA,"","","","",0,0
"14129",1,"HBL","male","Germany","2018/19","34","15060445",2019-06-09,"Kassel","","","",4300,15,"MT Melsungen",9,"TBV Lemgo Lippe","15","MT Melsungen",31,27,16,15,15,12,0,0,NA,NA,"","","","",0,0
"14128",1,"HBL","male","Germany","2018/19","34","15060443",2019-06-09,"Göppingen","","","",4600,11,"FRISCH AUF! Göppingen",4,"SC Magdeburg","4","SC Magdeburg",24,31,12,12,12,19,0,0,NA,NA,"","","","",0,0
"14127",1,"HBL","male","Germany","2018/19","34","15060441",2019-06-09,"Berlin","","","",8704,2,"Füchse Berlin",1,"HSG Wetzlar","1","HSG Wetzlar",25,27,14,11,11,16,0,0,NA,NA,"","","","",0,0
"14126",1,"HBL","male","Germany","2018/19","34","15060439",2019-06-09,"Kiel","","","",10285,18,"THW Kiel",12,"TSV Hannover-Burgdorf","18","THW Kiel",30,26,15,15,15,11,0,0,NA,NA,"","","","",0,0
"14125",1,"HBL","male","Germany","2018/19","33","15060437",2019-05-29,"Lemgo","","","",4790,9,"TBV Lemgo Lippe",18,"THW Kiel","18","THW Kiel",26,34,11,15,15,19,0,0,NA,NA,"","","","",0,0
"14124",1,"HBL","male","Germany","2018/19","33","15060435",2019-05-29,"Gummersbach","","","",4132,7,"VfL Gummersbach",11,"FRISCH AUF! Göppingen","11","FRISCH AUF! Göppingen",22,26,13,9,9,17,0,0,NA,NA,"","","","",0,0
"14123",1,"HBL","male","Germany","2018/19","33","15060433",2019-05-29,"Minden","","","",2923,10,"GWD Minden",14,"Bergischer HC","14","Bergischer HC",32,35,15,17,17,18,0,0,NA,NA,"","","","",0,0
"14122",1,"HBL","male","Germany","2018/19","33","15060431",2019-05-28,"Hannover","","","",5077,12,"TSV Hannover-Burgdorf",13,"SC DHfK Leipzig","12","TSV Hannover-Burgdorf",30,28,15,15,15,13,0,0,NA,NA,"","","","",0,0
"14121",1,"HBL","male","Germany","2018/19","33","15060429",2019-05-29,"Wetzlar","","","",4279,1,"HSG Wetzlar",17,"TVB Stuttgart","1","HSG Wetzlar",26,23,13,13,13,10,0,0,NA,NA,"","","","",0,0
"14120",1,"HBL","male","Germany","2018/19","33","15060427",2019-05-29,"Nürnberg","","","",4538,6,"HC Erlangen",15,"MT Melsungen","15","MT Melsungen",24,25,16,8,8,17,0,0,NA,NA,"","","","",0,0
"14119",1,"HBL","male","Germany","2018/19","33","15060425",2019-05-29,"Magdeburg","","","",6600,4,"SC Magdeburg",52,"SG BBM Bietigheim","4","SC Magdeburg",23,19,9,14,14,5,0,0,NA,NA,"","","","",0,0
"14118",1,"HBL","male","Germany","2018/19","33","15060423",2019-05-29,"Flensburg","","","",6300,5,"SG Flensburg-Handewitt",2,"Füchse Berlin","5","SG Flensburg-Handewitt",26,18,14,12,12,6,0,0,NA,NA,"","","","",0,0
"14117",1,"HBL","male","Germany","2018/19","33","15060421",2019-05-29,"Mannheim","","","",9225,3,"Rhein-Neckar Löwen",42,"Die Eulen Ludwigshafen","42","Die Eulen Ludwigshafen",26,29,11,15,15,14,0,0,NA,NA,"","","","",0,0
"14116",1,"HBL","male","Germany","2018/19","32","15060419",2019-05-23,"Stuttgart","","","",5959,17,"TVB Stuttgart",5,"SG Flensburg-Handewitt","5","SG Flensburg-Handewitt",20,30,9,11,11,19,0,0,NA,NA,"","","","",0,0
"14115",1,"HBL","male","Germany","2018/19","32","15060417",2019-05-25,"Bietigheim-Bissingen","","","",2400,52,"SG BBM Bietigheim",9,"TBV Lemgo Lippe","52","SG BBM Bietigheim",25,23,13,12,12,11,0,0,NA,NA,"","","","",0,0
"14114",1,"HBL","male","Germany","2018/19","32","15060415",2019-05-26,"Ludwigshafen","","","",2004,42,"Die Eulen Ludwigshafen",14,"Bergischer HC","42","Die Eulen Ludwigshafen",23,22,9,14,14,8,0,0,NA,NA,"","","","",0,0
"14113",1,"HBL","male","Germany","2018/19","32","15060413",2019-05-23,"Leipzig","","","",3769,13,"SC DHfK Leipzig",6,"HC Erlangen","13","SC DHfK Leipzig",26,25,12,14,14,11,0,0,NA,NA,"","","","",0,0
"14112",1,"HBL","male","Germany","2018/19","32","15060411",2019-05-23,"Kassel","","","",4300,15,"MT Melsungen",12,"TSV Hannover-Burgdorf","15","MT Melsungen",28,25,12,16,16,9,0,0,NA,NA,"","","","",0,0
"14111",1,"HBL","male","Germany","2018/19","32","15060409",2019-05-16,"Göppingen","","","",3800,11,"FRISCH AUF! Göppingen",1,"HSG Wetzlar","1","HSG Wetzlar",22,24,10,12,12,12,0,0,NA,NA,"","","","",0,0
"14110",1,"HBL","male","Germany","2018/19","32","15060407",2019-05-26,"Berlin","","","",9000,2,"Füchse Berlin",3,"Rhein-Neckar Löwen","2","Füchse Berlin",34,33,20,14,14,19,0,0,NA,NA,"","","","",0,0
"14109",1,"HBL","male","Germany","2018/19","32","15060405",2019-05-23,"Magdeburg","","","",6404,4,"SC Magdeburg",7,"VfL Gummersbach","4","SC Magdeburg",29,24,14,15,15,9,0,0,NA,NA,"","","","",0,0
"14108",1,"HBL","male","Germany","2018/19","32","15060403",2019-05-26,"Kiel","","","",10285,18,"THW Kiel",10,"GWD Minden","18","THW Kiel",39,19,19,20,20,-1,0,0,NA,NA,"","","","",0,0
"14107",1,"HBL","male","Germany","2018/19","31","15060401",2019-05-15,"Lemgo","","","",4173,9,"TBV Lemgo Lippe",4,"SC Magdeburg","4","SC Magdeburg",22,23,10,12,12,11,0,0,NA,NA,"","","","",0,0
"14106",1,"HBL","male","Germany","2018/19","31","15060399",2019-05-02,"Solingen","","","",2491,14,"Bergischer HC",2,"Füchse Berlin","14","Bergischer HC",28,26,14,14,14,12,0,0,NA,NA,"","","","",0,0
"14105",1,"HBL","male","Germany","2018/19","31","15060397",2019-05-15,"Ludwigshafen","","","",1864,42,"Die Eulen Ludwigshafen",17,"TVB Stuttgart","draw","draw",23,23,11,12,12,11,0,0,NA,NA,"","","","",0,0
"14104",1,"HBL","male","Germany","2018/19","31","15060395",2019-05-15,"Minden","","","",2754,10,"GWD Minden",13,"SC DHfK Leipzig","13","SC DHfK Leipzig",24,26,16,8,8,18,0,0,NA,NA,"","","","",0,0
"14103",1,"HBL","male","Germany","2018/19","31","15060393",2019-05-14,"Hannover","","","",4021,12,"TSV Hannover-Burgdorf",7,"VfL Gummersbach","12","TSV Hannover-Burgdorf",30,24,14,16,16,8,0,0,NA,NA,"","","","",0,0
"14102",1,"HBL","male","Germany","2018/19","31","15060391",2019-05-09,"Wetzlar","","","",4421,1,"HSG Wetzlar",18,"THW Kiel","18","THW Kiel",23,27,12,11,11,16,0,0,NA,NA,"","","","",0,0
"14101",1,"HBL","male","Germany","2018/19","31","15060389",2019-05-16,"Nürnberg","","","",3792,6,"HC Erlangen",52,"SG BBM Bietigheim","6","HC Erlangen",27,25,12,15,15,10,0,0,NA,NA,"","","","",0,0
"14100",1,"HBL","male","Germany","2018/19","31","15060387",2019-05-16,"Flensburg","","","",6300,5,"SG Flensburg-Handewitt",15,"MT Melsungen","5","SG Flensburg-Handewitt",30,24,14,16,16,8,0,0,NA,NA,"","","","",0,0
"14099",1,"HBL","male","Germany","2018/19","31","15060385",2019-05-23,"Mannheim","","","",8015,3,"Rhein-Neckar Löwen",11,"FRISCH AUF! Göppingen","3","Rhein-Neckar Löwen",33,27,15,18,18,9,0,0,NA,NA,"","","","",0,0
"14098",1,"HBL","male","Germany","2018/19","30","15060383",2019-05-09,"Stuttgart","","","",2050,17,"TVB Stuttgart",10,"GWD Minden","10","GWD Minden",30,31,14,16,16,15,0,0,NA,NA,"","","","",0,0
"14097",1,"HBL","male","Germany","2018/19","30","15060381",2019-05-09,"Bietigheim-Bissingen","","","",2509,52,"SG BBM Bietigheim",12,"TSV Hannover-Burgdorf","52","SG BBM Bietigheim",29,27,13,16,16,11,0,0,NA,NA,"","","","",0,0
"14096",1,"HBL","male","Germany","2018/19","30","15060379",2019-05-11,"Gummersbach","","","",3621,7,"VfL Gummersbach",9,"TBV Lemgo Lippe","7","VfL Gummersbach",25,19,14,11,11,8,0,0,NA,NA,"","","","",0,0
"14095",1,"HBL","male","Germany","2018/19","30","15060377",2019-05-11,"Leipzig","","","",4124,13,"SC DHfK Leipzig",14,"Bergischer HC","draw","draw",25,25,12,13,13,12,0,0,NA,NA,"","","","",0,0
"14094",1,"HBL","male","Germany","2018/19","30","15060375",2019-05-12,"Kassel","","","",4300,15,"MT Melsungen",3,"Rhein-Neckar Löwen","3","Rhein-Neckar Löwen",23,26,13,10,10,16,0,0,NA,NA,"","","","",0,0
"14093",1,"HBL","male","Germany","2018/19","30","15060373",2019-05-09,"Göppingen","","","",4000,11,"FRISCH AUF! Göppingen",6,"HC Erlangen","11","FRISCH AUF! Göppingen",25,23,11,14,14,9,0,0,NA,NA,"","","","",0,0
"14092",1,"HBL","male","Germany","2018/19","30","15060371",2019-05-12,"Berlin","","","",7485,2,"Füchse Berlin",42,"Die Eulen Ludwigshafen","2","Füchse Berlin",32,20,17,15,15,5,0,0,NA,NA,"","","","",0,0
"14091",1,"HBL","male","Germany","2018/19","30","15060369",2019-05-12,"Magdeburg","","","",6527,4,"SC Magdeburg",1,"HSG Wetzlar","4","SC Magdeburg",30,25,18,12,12,13,0,0,NA,NA,"","","","",0,0
"14090",1,"HBL","male","Germany","2018/19","30","15060367",2019-05-12,"Kiel","","","",10285,18,"THW Kiel",5,"SG Flensburg-Handewitt","18","THW Kiel",20,18,11,9,9,9,0,0,NA,NA,"","","","",0,0
"14089",1,"HBL","male","Germany","2018/19","29","15060365",2019-05-05,"Lemgo","","","",4145,9,"TBV Lemgo Lippe",11,"FRISCH AUF! Göppingen","11","FRISCH AUF! Göppingen",25,30,10,15,15,15,0,0,NA,NA,"","","","",0,0
"14088",1,"HBL","male","Germany","2018/19","29","15060363",2019-05-05,"Solingen","","","",2491,14,"Bergischer HC",17,"TVB Stuttgart","14","Bergischer HC",29,28,16,13,13,15,0,0,NA,NA,"","","","",0,0
"14087",1,"HBL","male","Germany","2018/19","29","15060361",2019-05-02,"Ludwigshafen","","","",2005,42,"Die Eulen Ludwigshafen",15,"MT Melsungen","15","MT Melsungen",22,27,11,11,11,16,0,0,NA,NA,"","","","",0,0
"14086",1,"HBL","male","Germany","2018/19","29","15060359",2019-05-05,"Minden","","","",3800,10,"GWD Minden",2,"Füchse Berlin","2","Füchse Berlin",27,28,14,13,13,15,0,0,NA,NA,"","","","",0,0
"14085",1,"HBL","male","Germany","2018/19","29","15060357",2019-05-05,"Hannover","","","",4150,12,"TSV Hannover-Burgdorf",4,"SC Magdeburg","4","SC Magdeburg",26,31,13,13,13,18,0,0,NA,NA,"","","","",0,0
